"time","xAngle","gyroXangle","compAngleX","kalAngleX","yAngle","gyroYangle","compAngleY","kalAngleY"
65,40.3645,160.122,100.743,128.043,-71.879,-112.38,-94.009,-112.38
66,36.1711,168.459,103.976,129.464,-73.1285,-122.659,-102.107,-119.041
67,32.5365,176.345,106.309,130.13,-73.5435,-132.874,-109.607,-125.314
68,32.075,129.865,107.707,129.865,-3.44337,-143.166,-111.747,-128.202
69,26.0673,136.683,108.332,128.979,-0.864055,-153.455,-113.554,-130.708
70,18.0491,143.184,108.058,127.364,-1.05318,-163.726,-115.231,-132.957
71,16.0145,149.437,107.431,125.37,-74.0573,-174.042,-121.943,-138.301
72,10.0005,155.469,106.22,122.876,-0.141772,-139.944,-122.974,-139.944
73,5.26847,161.276,104.554,119.945,-0.272591,-150.233,-123.954,-141.384
74,75.4124,167.046,107.88,120.203,-44.4303,-160.556,-127.987,-144.661
75,74.6626,172.64,110.758,120.186,-44.8317,-170.866,-131.755,-147.68
76,74.7367,179.062,114.209,120.927,-44.9426,-150.404,-135.207,-150.404
77,73.2714,121.713,117.508,121.713,-0.134205,-160.636,-135.268,-150.797
78,73.3454,128.594,120.816,122.666,-47.3076,-170.679,-138.45,-153.042
79,74.4163,135.555,124.041,123.646,-0.941209,-152.938,-138.197,-152.938
80,71.8106,143.331,127.617,125.179,-0.0784809,-163.143,-138.02,-152.761
81,72.3482,152.259,132.051,127.717,-0.782255,-173.469,-138.016,-152.592
82,72.7032,162.153,137.098,131.009,-0.53545,-173.496,-128.418,-142.447
83,72.817,162.45,132.875,124.948,-49.3304,-173.553,-122.934,-134.974
84,73.1257,163.319,129.5,119.671,-48.7074,-173.615,-117.796,-127.735
85,73.2241,164.638,126.788,115.045,-48.3836,-173.668,-112.987,-120.75
86,73.0555,166.465,124.726,111.077,-0.0629394,-173.732,-105.142,-111.738
87,73.233,168.886,123.373,107.831,-0.255618,-173.81,-97.8716,-103.064
88,73.4837,171.832,122.62,105.202,-0.152925,-173.892,-91.1077,-94.6889
89,73.466,175.494,122.585,103.349,-0.130076,-174.016,-84.855,-86.66
90,74.2123,179.582,123.001,101.998,-46.0315,-174.152,-82.2639,-81.1477
91,75.1121,100.838,123.557,100.838,-0.0206755,-174.266,-76.6129,-73.6331
92,74.5177,104.796,123.806,99.446,-44.0264,-174.362,-74.4207,-68.5107
93,75.0862,108.991,124.296,98.3524,-0.235743,-174.474,-69.3322,-61.5164
94,1.17267,113.402,119.78,93.9331,-0.586275,-174.568,-64.607,-54.8103
95,8.03158,117.927,116.166,90.0712,-75.0289,-174.664,-65.4261,-51.9763
96,14.5696,122.355,113.172,86.5481,-75.1803,-174.576,-66.0272,-49.1386
97,16.1817,126.887,110.597,83.3143,-0.430092,-174.475,-61.3411,-42.8328
98,20.0862,131.428,108.485,80.374,-75.5307,-174.405,-62.2691,-40.4712
99,26.4048,135.973,106.966,77.8289,-74.6379,-174.328,-63.0635,-38.2067
100,36.9804,140.059,105.867,75.4415,-2.44108,-174.256,-58.7527,-32.5822
101,46.4843,143.302,104.727,72.7961,-72.6223,-174.066,-59.5475,-30.5093
102,52.3856,145.728,103.319,69.7637,-72.114,-173.8,-60.1794,-28.4782
103,51.0607,147.204,101.033,65.895,-72.1542,-173.571,-60.8048,-26.6244
104,52.04,147.968,98.3149,61.5722,-72.001,-173.448,-61.4744,-24.997
105,52.3354,148.013,95.1377,56.7817,-71.6915,-173.383,-62.1286,-23.5326
106,50.2112,157.548,100.86,61.143,-72.1758,-173.382,-62.8308,-22.2688
107,47.9253,166.402,105.389,64.5213,-72.795,-163.045,-53.9154,-11.3125
108,44.9445,174.682,108.859,67.0178,-72.5574,-152.778,-45.6722,-0.996779
109,44.2614,68.9132,111.612,68.9132,-73.4548,-142.589,-38.1406,8.62239
110,43.6865,76.0119,113.459,69.9771,-1.11874,-132.297,-25.9776,21.3322
111,36.5815,82.5104,114.121,70.0473,-74.2964,-122.021,-19.8032,29.7991
112,31.9974,88.7963,114.218,69.6551,-74.1832,-111.812,-14.1157,37.6974
113,28.1982,94.7207,113.707,68.7188,-74.8767,-101.617,-8.88766,45.0571
114,26.2863,100.294,112.771,67.3608,-74.8322,-91.4025,-4.0043,51.9678
115,19.6637,105.709,111.289,65.5159,-2.03567,-81.0855,5.72833,62.1139
116,12.9147,110.893,109.224,63.1951,-0.719529,-70.7762,14.8647,71.7419
117,6.57243,116.073,106.856,60.63,-75.7071,-60.465,18.114,77.1473
118,76.075,121.256,109.521,61.555,-0.109486,-50.1571,26.4247,85.8574
119,76.152,126.444,112.01,62.4521,-44.7262,-39.92,30.9646,91.8014
120,74.1919,131.67,114.223,63.2667,-0.123615,-29.6784,38.3132,99.5194
121,74.4807,137.504,116.867,64.6479,-46.3491,-19.7139,41.6538,104.227
122,73.7884,143.656,119.573,66.2373,-48.9942,-9.7295,44.5939,108.454
123,74.1287,150.741,122.981,68.6589,-0.163002,0.256189,50.7476,114.732
124,71.4586,159.241,127.279,72.1849,-0.18326,10.3745,56.5925,120.718
125,73.5526,168.665,132.282,76.5184,-0.455815,20.5439,62.0567,126.333
126,73.3282,178.722,137.508,81.2281,-0.57611,30.7363,67.1513,131.571
127,72.7657,178.764,133.016,76.1506,-0.320367,40.924,71.9029,136.439
128,73.9419,179.243,129.326,71.7901,-49.5144,51.2247,72.9833,138.627
129,73.6852,68.2837,126.512,68.2837,-49.5528,61.5294,73.9891,140.537
130,73.0011,70.0229,124.384,65.4707,-49.7687,61.552,65.3471,132.392
131,73.4667,72.5004,123.124,63.5268,-0.490299,71.8652,70.3297,136.692
132,72.5508,75.7899,122.643,62.4159,-1.15272,71.8986,65.3571,130.848
133,74.4186,79.6936,122.898,62.0452,-47.4741,71.9762,57.531,122.931
134,74.2794,83.6941,123.215,61.7896,-0.423206,72.0387,53.5323,117.552
135,74.5857,87.9796,123.796,61.8428,-0.485593,72.1592,49.8632,112.382
136,74.6467,92.589,124.643,62.2181,-45.041,72.2425,43.2973,105.132
137,75.2667,97.2777,125.547,62.6897,-0.0546772,72.3439,40.357,100.336
138,5.22242,101.969,121.487,59.7023,-75.2858,72.4442,32.3553,91.9751
139,9.24212,106.654,117.987,57.0049,-75.3173,72.5401,24.9074,83.8678
140,13.8084,111.358,115.069,54.6385,-75.3139,72.6234,17.9694,76.0024
141,18.0496,116.053,112.644,52.5507,-75.4293,72.7248,11.5258,68.3976
142,22.9246,120.679,110.666,50.71,-75.1884,72.8243,5.54835,61.0461
143,29.0054,125.224,109.177,49.1599,-74.9176,72.9219,0.00648872,53.944
144,36.2303,129.445,107.996,47.7138,-74.3042,73.0396,-5.08584,47.1233
145,43.3684,132.971,106.751,46.0204,-2.44066,73.1812,-4.76898,44.0943
146,43.5692,135.673,104.841,43.634,-73.5431,73.3761,-9.40188,37.7162
147,52.1981,137.799,103.133,41.2419,-71.4258,73.5069,-13.6219,31.5939
148,53.4638,138.892,100.672,38.0568,-71.6459,83.7886,-8.12163,35.3182
149,54.122,138.956,97.4743,34.0971,-71.4205,93.9893,-3.0659,38.6943
150,54.2145,148.503,103.324,39.3462,-71.7364,104.115,1.54393,41.7087
151,50.521,157.197,107.714,43.3775,-72.5101,114.22,5.75762,44.4168
152,47.505,165.234,110.973,46.4466,-72.9112,124.327,9.65052,46.8675
153,45.509,172.924,113.542,48.9389,-0.88118,134.4,18.2811,52.6105
154,41.0335,50.7782,115.323,50.7782,-73.967,144.447,21.1677,54.3881
155,38.5681,57.4379,116.143,51.7233,-0.0691145,154.713,29.2288,59.8176
156,30.5271,63.8473,116.111,51.9728,-74.9893,164.993,31.4938,61.2381
157,26.3049,70.0049,115.551,51.7444,-74.4338,175.226,33.5949,62.4466
158,21.043,76.0582,114.565,51.1456,-74.6225,63.4267,35.5023,63.4267
159,20.6506,81.996,113.513,50.4191,-75.1522,73.6267,37.2424,64.2092
160,11.481,87.7665,111.737,49.0711,-74.8663,83.9106,38.9588,64.9099
161,8.66898,93.5233,109.876,47.6207,-75.1425,94.1683,40.5115,65.4174
162,2.36124,99.0914,107.529,45.7178,-1.71259,104.489,47.1538,69.4577
163,75.1194,104.521,110.31,47.3294,-44.5865,114.776,50.2987,71.084
164,74.7499,109.962,112.881,48.8766,-45.2879,125.045,53.1585,72.4716
