"time","true_position","measured_position","estimated_position","true_velocity","estimated_velocity"
4.72001,11.2135,13.0135,11.1828,4.7457,4.72899
4.73001,11.261,11.975,11.2302,4.75517,4.73902
4.74001,11.3086,3.68263,11.2766,4.76643,4.74868
4.75001,11.3563,21.2163,11.3255,4.77737,4.75913
4.76001,11.4042,21.3022,11.3746,4.78559,4.76957
4.77001,11.4521,21.3041,11.4238,4.79394,4.78002
4.78001,11.5001,14.5281,11.4721,4.80243,4.79015
4.79001,11.5481,21.3821,11.5214,4.81143,4.8006
4.80001,11.5963,19.3943,11.5706,4.82166,4.81096
4.81002,11.6446,12.8986,11.619,4.83083,4.82102
4.82002,11.6929,21.6169,11.6687,4.8393,4.83148
4.83002,11.7414,21.7334,11.7186,4.84903,4.84194
4.84002,11.7899,18.0739,11.768,4.86009,4.85223
4.85002,11.8386,5.50257,11.8156,4.86989,4.86194
4.86002,11.8873,6.66532,11.8635,4.87933,4.87169
4.87002,11.9362,21.1442,11.9137,4.88963,4.88213
4.88002,11.9851,16.3811,11.9632,4.90087,4.89233
4.89002,12.0342,21.4002,12.0136,4.91201,4.90278
4.90002,12.0833,12.6173,12.0628,4.92331,4.9128
4.91002,12.1326,11.2026,12.1118,4.93223,4.92276
4.92002,12.182,13.596,12.1614,4.94115,4.93283
4.93002,12.2314,14.9994,12.2112,4.95243,4.94296
4.94002,12.281,10.383,12.2604,4.96129,4.95287
4.95002,12.3307,12.1327,12.3099,4.96967,4.96287
4.96002,12.3804,19.3944,12.3607,4.97861,4.97321
4.97002,12.4303,3.62628,12.4091,4.98956,4.98278
4.98002,12.4802,19.8642,12.4602,4.99957,4.99314
4.99002,12.5303,8.32828,12.5095,5.00871,5.00294
