"time","measured_angle","estimated_angle","estimated_drift"
142,1.8171,0.216119,0.00281739
143,-2.97523,0.21409,0.00313017
144,0.489528,0.217428,0.00310312
145,-4.08045,0.214292,0.00353556
146,-2.32078,0.213235,0.00379407
147,-4.90257,0.209036,0.0043223
148,-2.98183,0.20987,0.0046564
149,-3.90866,0.209266,0.00509298
150,-1.55334,0.212532,0.00528259
151,1.94584,0.219337,0.00509487
152,2.79182,0.227036,0.0048125
153,4.24991,0.235799,0.00436506
154,2.90217,0.24206,0.00406488
155,4.01739,0.248898,0.0036344
156,-3.47581,0.246189,0.00406476
157,-0.98708,0.248686,0.00420937
158,-4.58205,0.247261,0.00478132
159,1.15672,0.253761,0.00467311
160,-0.976957,0.257854,0.00482285
161,3.0229,0.267806,0.00448481
162,2.17131,0.275975,0.00424954
163,6.02242,0.289203,0.0035296
164,4.51939,0.298616,0.00299346
165,2.65779,0.305328,0.00269122
166,-1.78763,0.306571,0.00296334
167,-2.03733,0.308223,0.00327157
168,0.857132,0.314334,0.00319944
169,-0.540686,0.318945,0.00331495
170,0.234178,0.324395,0.0033272
171,-1.37759,0.327598,0.00356141
172,2.78928,0.337048,0.00322091
173,-0.215839,0.340948,0.00329906
174,-2.51838,0.340876,0.00370473
175,-1.75611,0.341842,0.00400557
176,-2.18183,0.343549,0.00437157
177,-2.35815,0.345335,0.00476753
178,-8.65928,0.338972,0.00609929
179,-7.97041,0.334375,0.00734127
180,-3.24297,0.337463,0.00788228
181,-5.55723,0.336903,0.00878209
182,-1.69357,0.342748,0.00909615
183,-3.30598,0.345558,0.00966507
184,0.549925,0.354877,0.00963437
185,-5.47429,0.355162,0.010561
186,3.78701,0.370428,0.0100125
187,-8.23463,0.365739,0.0114071
188,0.428486,0.376938,0.0113986
189,-3.48499,0.379834,0.0120377
190,0.48987,0.388866,0.0120209
191,-7.61185,0.383696,0.0133689
192,2.83545,0.395759,0.0129536
193,-3.57229,0.397059,0.0136358
194,-2.53336,0.400713,0.0141448
195,-4.45504,0.401305,0.0149954
196,1.23933,0.411878,0.0148491
197,-5.32627,0.410512,0.0158728
198,2.34021,0.422441,0.0155274
199,-1.71168,0.425912,0.0159159
200,4.55821,0.440258,0.0151605
201,-2.93789,0.441157,0.0157861
202,-0.149989,0.448315,0.0158978
203,-3.17983,0.449716,0.016582
204,4.17957,0.464754,0.0158755
205,2.68614,0.476033,0.0154513
206,-2.18484,0.479252,0.0159671
207,-1.36995,0.485711,0.0163296
208,-2.62757,0.490721,0.016944
209,2.7162,0.506167,0.0165047
210,1.67892,0.519488,0.0162723
211,5.46665,0.539175,0.0152758
212,7.09357,0.561129,0.0139435
213,2.40559,0.57486,0.0135669
